model,seed,boundary,fraction,evaluation_set,n,accuracy,margin_mean,margin_std,positive_margin_rate
word_tfidf_bt,20260728,safe,0.6,untouched_clean_test,512,0.4765625,-0.08866958497804633,0.08930975820425593,0.1328125
word_tfidf_bt,20260728,safe,0.6,external,372,0.5295698924731183,-0.0761295597339908,0.11616660164019756,0.22849462365591397
word_tfidf_bt,20260728,safe,0.8,target,512,0.513671875,-0.06194230759504675,0.10211518710783082,0.216796875
word_tfidf_bt,20260728,safe,0.8,clean_validation,512,0.474609375,-0.06034533460095054,0.10515473662992741,0.23046875
word_tfidf_bt,20260728,safe,0.8,untouched_clean_test,512,0.47265625,-0.06151264881486202,0.10515624208911982,0.234375
word_tfidf_bt,20260728,safe,0.8,external,372,0.5376344086021505,-0.047909779378913615,0.13534704651441073,0.3279569892473118
word_tfidf_bt,20260728,safe,1.0,target,512,0.498046875,-0.02909469341165348,0.1187184996275801,0.349609375
word_tfidf_bt,20260728,safe,1.0,clean_validation,512,0.501953125,-0.024951146949917888,0.1225765667882931,0.37109375
word_tfidf_bt,20260728,safe,1.0,untouched_clean_test,512,0.458984375,-0.028431149550360114,0.12535727031796126,0.349609375
word_tfidf_bt,20260728,safe,1.0,external,372,0.5564516129032258,-0.011772815942510643,0.15378153248502904,0.4596774193548387
word_tfidf_bt,20260729,naive,0.2,target,512,0.525390625,-0.05171317310832163,0.050504977525798765,0.119140625
word_tfidf_bt,20260729,naive,0.2,clean_validation,512,0.466796875,-0.0498595124771179,0.0463741912188813,0.12890625
word_tfidf_bt,20260729,naive,0.2,untouched_clean_test,512,0.5,-0.05395258793601332,0.05014314873987706,0.1171875
word_tfidf_bt,20260729,naive,0.2,external,372,0.521505376344086,-0.04813910042351183,0.060161393925085065,0.1774193548387097
word_tfidf_bt,20260729,naive,0.4,target,512,0.578125,-0.042249392056712035,0.0796907679870942,0.23828125
word_tfidf_bt,20260729,naive,0.4,clean_validation,512,0.486328125,-0.0388673647667904,0.07212847939861076,0.234375
word_tfidf_bt,20260729,naive,0.4,untouched_clean_test,512,0.49609375,-0.04025371711547719,0.07365005627090512,0.25390625
word_tfidf_bt,20260729,naive,0.4,external,372,0.5456989247311828,-0.03496524292351941,0.08836263625415211,0.28763440860215056
word_tfidf_bt,20260729,naive,0.6,target,512,0.626953125,-0.005409460668580403,0.10212652822359297,0.458984375
word_tfidf_bt,20260729,naive,0.6,clean_validation,512,0.505859375,-0.0008865871376325614,0.09062551569936024,0.48828125
word_tfidf_bt,20260729,naive,0.6,untouched_clean_test,512,0.48828125,-0.0044553688280048204,0.09135375014317276,0.4296875
word_tfidf_bt,20260729,naive,0.6,external,372,0.553763440860215,0.008486349298879878,0.10985755784412005,0.532258064516129
word_tfidf_bt,20260729,naive,0.8,target,512,0.638671875,-0.007642559510722768,0.12095792466816647,0.447265625
word_tfidf_bt,20260729,naive,0.8,clean_validation,512,0.50390625,-0.002749230806353421,0.10589303399029024,0.455078125
word_tfidf_bt,20260729,naive,0.8,untouched_clean_test,512,0.48828125,-0.006110875017962302,0.1093615631442442,0.41796875
word_tfidf_bt,20260729,naive,0.8,external,372,0.5618279569892473,0.009118401180478203,0.12773295039638324,0.5349462365591398
word_tfidf_bt,20260729,naive,1.0,target,512,0.64453125,-0.03472145687815259,0.1449394672809974,0.35546875
word_tfidf_bt,20260729,naive,1.0,clean_validation,512,0.505859375,-0.028114634992665855,0.12346498247946446,0.34375
word_tfidf_bt,20260729,naive,1.0,untouched_clean_test,512,0.474609375,-0.032145538529155,0.12802167528257608,0.337890625
word_tfidf_bt,20260729,naive,1.0,external,372,0.5376344086021505,-0.016570733367669514,0.1520622729192214,0.43548387096774194
word_tfidf_bt,20260729,safe,0.2,target,512,0.501953125,-0.08166711974395571,0.04754994522652042,0.052734375
word_tfidf_bt,20260729,safe,0.2,clean_validation,512,0.455078125,-0.07947855601703321,0.04845014643432516,0.04296875
word_tfidf_bt,20260729,safe,0.2,untouched_clean_test,512,0.49609375,-0.08275264916582004,0.04918550876552041,0.03125
